,county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2.5,days_pm10
172,Glenn,2016,362,194,168,0,0,0,0,92,64,48,0,0,137,221,4
173,Humboldt,2016,366,288,78,0,0,0,0,77,57,38,0,1,192,169,4
174,Imperial,2016,366,64,257,39,3,1,2,546,105,61,0,2,118,156,90
175,Inyo,2016,366,238,105,15,4,1,3,418,87,45,0,0,301,29,36
176,Kern,2016,366,46,204,102,14,0,0,169,136,80,0,0,211,148,7
177,Kings,2016,366,61,231,71,3,0,0,156,115,72,0,0,164,155,47
178,Lake,2016,365,356,9,0,0,0,0,74,44,33,0,0,363,2,0
179,Los Angeles,2016,366,7,255,81,19,4,0,226,134,77,0,23,152,190,1
180,Madera,2016,366,91,225,47,3,0,0,156,105,63,0,0,187,167,12
181,Marin,2016,366,296,70,0,0,0,0,90,55,36,0,4,137,225,0
182,Mariposa,2016,366,197,149,19,1,0,0,159,93,48,0,0,242,114,10
183,Mendocino,2016,364,287,77,0,0,0,0,70,54,39,0,0,105,258,1
184,Merced,2016,366,115,216,33,2,0,0,151,100,58,0,0,178,186,2
185,Mono,2016,366,312,21,3,6,0,24,7063,63,18,0,0,0,37,329
186,Monterey,2016,366,290,65,3,8,0,0,185,55,37,0,0,203,140,23
187,Napa,2016,366,219,147,0,0,0,0,90,61,44,0,0,104,261,1
188,Nevada,2016,366,232,89,40,5,0,0,179,101,45,0,0,353,13,0
189,Orange,2016,366,87,264,13,2,0,0,169,88,58,0,16,118,231,1
190,Placer,2016,366,187,159,17,3,0,0,166,80,50,0,5,174,187,0
191,Plumas,2016,355,203,141,10,1,0,0,152,76,43,0,0,0,355,0
192,Riverside,2016,366,23,214,86,37,4,2,379,154,83,0,0,190,128,48
193,Sacramento,2016,366,136,191,33,6,0,0,172,101,55,0,0,172,194,0
194,San Benito,2016,366,298,63,5,0,0,0,126,61,39,0,0,325,41,0
195,San Bernardino,2016,366,9,219,78,48,12,0,217,172,84,0,19,182,157,8
196,San Diego,2016,366,30,294,40,2,0,0,164,105,68,0,2,176,188,0
197,San Francisco,2016,366,236,130,0,0,0,0,71,58,41,1,26,115,224,0
198,San Joaquin,2016,366,62,278,25,1,0,0,166,93,60,0,1,94,270,1
199,San Luis Obispo,2016,366,140,217,8,1,0,0,156,84,55,0,0,206,143,17
200,San Mateo,2016,366,214,152,0,0,0,0,70,59,47,1,14,80,271,0
201,Santa Barbara,2016,366,191,163,9,2,0,1,313,69,50,0,0,172,166,28
202,Santa Clara,2016,366,187,178,1,0,0,0,101,64,50,0,4,95,267,0
203,Santa Cruz,2016,366,306,60,0,0,0,0,76,54,35,0,0,162,204,0
204,Shasta,2016,366,296,56,14,0,0,0,140,74,41,0,0,358,8,0
205,Siskiyou,2016,362,351,11,0,0,0,0,93,44,27,0,0,335,27,0
206,Solano,2016,366,213,151,2,0,0,0,105,65,47,0,3,137,226,0
207,Sonoma,2016,366,323,43,0,0,0,0,87,51,34,0,0,265,99,2
208,Stanislaus,2016,366,102,221,40,3,0,0,164,103,59,0,0,163,202,1
209,Sutter,2016,366,115,219,32,0,0,0,147,97,58,0,0,158,208,0
210,Tehama,2016,366,218,106,37,5,0,0,174,108,45,0,0,307,58,1
211,Trinity,2016,167,83,84,0,0,0,0,97,73,51,0,0,0,167,0
212,Tulare,2016,366,55,187,102,22,0,0,177,145,77,0,0,199,164,3
213,Tuolumne,2016,354,223,86,38,7,0,0,164,108,44,0,0,354,0,0
214,Ventura,2016,366,120,237,9,0,0,0,147,84,56,0,0,138,224,4
215,Yolo,2016,366,246,116,4,0,0,0,115,64,43,0,1,216,148,1
216,Alameda,2017,365,106,245,9,4,1,0,205,78,56,0,6,51,308,0
217,Amador,2017,362,291,67,4,0,0,0,136,64,38,0,0,362,0,0
218,Butte,2017,365,100,241,23,1,0,0,155,95,59,0,0,150,213,2
219,Calaveras,2017,354,118,222,12,2,0,0,172,87,57,0,0,198,155,1
220,Colusa,2017,365,237,120,7,0,1,0,213,67,43,0,0,168,179,18
221,Contra Costa,2017,365,131,222,8,4,0,0,175,76,54,0,0,55,310,0
222,Del Norte,2017,298,241,55,0,1,1,0,251,56,27,0,0,0,298,0
223,El Dorado,2017,362,235,96,31,0,0,0,147,100,45,0,0,327,7,28
224,Fresno,2017,365,76,169,93,26,1,0,207,140,75,0,2,212,140,11
225,Glenn,2017,365,231,127,7,0,0,0,150,63,46,0,0,144,185,36
226,Humboldt,2017,365,298,59,5,3,0,0,180,61,37,1,1,230,123,10
227,Imperial,2017,365,73,250,37,2,2,1,328,104,64,0,2,139,163,61
228,Inyo,2017,365,195,145,16,3,0,6,2234,87,49,0,0,256,58,51
229,Kern,2017,365,59,167,115,24,0,0,197,140,85,0,0,236,121,8
230,Kings,2017,365,82,212,50,21,0,0,192,125,72,0,0,185,145,35
231,Lake,2017,362,350,10,1,1,0,0,172,44,35,0,0,346,15,1
232,Los Angeles,2017,365,9,237,73,38,8,0,224,156,79,0,20,156,189,0
233,Madera,2017,365,117,200,42,6,0,0,166,105,62,0,1,210,139,15
234,Marin,2017,365,224,133,5,3,0,0,164,62,44,0,6,86,273,0
235,Mariposa,2017,365,146,179,31,9,0,0,189,101,54,0,0,216,149,0
