,county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2.5,days_pm10,"age-adjusted_rate_per_10,000",number_of_cases
152,Sutter,2019,365,200,163,2,0,0,0,110,71,48,0,0,200,159,6,27.19,274.0
153,Tehama,2019,365,263,102,0,0,0,0,93,64,43,0,0,299,66,0,46.61,273.0
154,Trinity,2019,269,225,42,2,0,0,0,113,56,23,0,0,0,269,0,43.23,47.0
155,Tulare,2019,365,98,186,78,2,1,0,280,122,67,0,0,210,136,19,40.67,1994.0
156,Tuolumne,2019,358,273,83,2,0,0,0,108,67,43,0,0,358,0,0,44.83,185.0
157,Ventura,2019,365,175,181,9,0,0,0,126,77,51,0,3,226,127,9,30.65,2410.0
158,Yolo,2019,365,252,112,1,0,0,0,136,63,43,0,1,249,114,1,35.9,742.0
159,Alameda,2020,366,169,177,8,11,1,0,243,81,52,0,6,87,273,0,27.32,4274.0
160,Amador,2020,359,327,29,2,1,0,0,156,50,37,0,0,359,0,0,28.89,103.0
161,Butte,2020,366,149,178,18,16,3,2,508,110,54,0,0,159,204,3,23.98,473.0
162,Calaveras,2020,364,206,135,10,12,1,0,210,79,48,0,0,182,177,5,29.14,111.0
163,Colusa,2020,366,218,116,9,22,1,0,221,87,42,0,0,148,190,28,25.45,49.0
164,Contra Costa,2020,366,192,156,7,10,1,0,221,75,49,0,2,107,257,0,27.07,3033.0
165,Del Norte,2020,292,193,90,4,3,2,0,245,61,42,0,0,0,292,0,40.45,104.0
166,El Dorado,2020,366,256,87,17,6,0,0,190,90,43,0,0,346,13,7,21.02,351.0
167,Fresno,2020,366,75,192,59,31,8,1,346,154,76,0,0,149,204,13,34.74,3500.0
168,Glenn,2020,364,200,135,7,19,3,0,221,84,46,0,0,151,202,11,20.38,55.0
169,Humboldt,2020,366,318,45,3,0,0,0,109,53,29,0,0,225,80,61,34.21,442.0
170,Imperial,2020,366,94,244,26,2,0,0,166,97,60,0,1,153,146,66,26.7,474.0
171,Inyo,2020,366,158,153,23,16,8,8,705,130,57,0,0,218,128,20,26.91,46.0
172,Kern,2020,366,56,180,98,28,4,0,267,140,83,0,0,184,166,16,27.98,2528.0
173,Kings,2020,366,76,220,54,13,2,1,548,124,70,0,0,118,199,49,27.64,425.0
174,Lake,2020,351,341,6,1,3,0,0,190,44,32,0,0,324,25,2,44.32,269.0
175,Los Angeles,2020,366,35,194,77,43,17,0,250,166,85,0,9,180,175,2,26.6,25868.0
176,Madera,2020,366,104,209,34,15,4,0,275,113,64,0,0,173,174,19,31.15,473.0
177,Marin,2020,366,272,85,4,4,1,0,231,62,36,0,8,148,210,0,11.81,279.0
178,Mariposa,2020,366,195,123,27,10,6,5,1073,111,49,0,0,275,84,7,23.43,31.0
179,Mendocino,2020,366,240,103,10,10,0,3,716,79,40,0,0,112,252,2,38.28,314.0
180,Merced,2020,366,131,203,17,15,0,0,194,96,57,0,0,164,201,1,37.82,1033.0
181,Mono,2020,366,183,117,13,14,11,28,2088,224,51,0,0,0,331,35,36.04,40.0
182,Monterey,2020,366,259,92,4,8,3,0,275,64,39,0,0,171,171,24,21.34,917.0
183,Napa,2020,365,259,91,7,7,1,0,224,66,39,3,0,163,199,0,22.98,322.0
184,Nevada,2020,366,223,111,15,11,6,0,277,91,46,0,0,173,193,0,20.74,174.0
185,Orange,2020,366,118,207,28,11,2,0,218,108,56,0,4,153,207,2,15.88,4866.0
186,Placer,2020,366,130,195,20,15,6,0,247,108,57,0,0,181,177,8,16.13,621.0
187,Plumas,2020,360,135,175,16,17,10,7,755,146,56,0,0,0,360,0,40.49,57.0
188,Riverside,2020,366,42,179,98,36,9,2,584,159,87,0,0,211,124,31,24.75,5870.0
189,Sacramento,2020,366,145,185,17,16,3,0,226,100,55,0,0,166,191,9,35.15,5480.0
190,San Benito,2020,366,271,78,8,9,0,0,174,68,41,0,0,241,117,8,35.38,219.0
191,San Bernardino,2020,366,33,170,76,69,18,0,236,185,93,0,6,219,128,13,31.0,6752.0
192,San Diego,2020,366,33,284,35,14,0,0,192,108,74,0,0,100,263,3,17.69,5739.0
193,San Francisco,2020,366,227,131,3,4,1,0,223,67,42,0,5,118,243,0,17.02,1435.0
194,San Joaquin,2020,366,162,173,16,13,2,0,215,97,54,0,0,129,223,14,37.98,2941.0
195,San Luis Obispo,2020,366,161,174,21,7,1,2,334,90,53,0,0,179,181,6,16.84,432.0
196,San Mateo,2020,366,257,99,5,5,0,0,199,64,37,0,11,136,219,0,14.42,1080.0
197,Santa Barbara,2020,366,199,154,9,4,0,0,174,68,48,0,0,156,207,3,15.37,678.0
198,Santa Clara,2020,366,174,172,11,9,0,0,198,81,52,0,3,107,256,0,14.95,2810.0
199,Santa Cruz,2020,366,261,85,6,10,1,3,624,68,39,0,0,138,228,0,17.08,457.0
200,Shasta,2020,366,286,72,6,2,0,0,171,67,41,0,0,325,41,0,24.03,400.0
201,Siskiyou,2020,366,272,71,10,9,2,2,468,66,39,0,0,210,156,0,25.1,86.0
202,Solano,2020,366,183,167,9,6,1,0,228,77,51,0,0,125,240,1,40.18,1766.0
203,Sonoma,2020,366,290,69,1,6,0,0,199,57,36,0,1,166,192,7,18.76,884.0
204,Stanislaus,2020,366,131,198,21,16,0,0,195,102,60,0,1,169,182,14,32.9,1802.0
205,Sutter,2020,366,162,173,15,13,2,1,356,90,53,0,0,140,222,4,19.42,183.0
206,Tehama,2020,366,216,117,12,19,2,0,218,94,46,0,0,214,152,0,28.11,173.0
207,Trinity,2020,343,215,100,12,13,3,0,211,81,36,0,0,0,343,0,21.85,26.0
208,Tulare,2020,366,52,179,103,30,2,0,225,145,80,0,0,164,190,12,24.56,1134.0
209,Tuolumne,2020,353,277,71,5,0,0,0,143,64,41,0,0,353,0,0,26.74,129.0
210,Ventura,2020,366,185,155,21,5,0,0,174,90,50,0,0,239,119,8,17.26,1393.0
211,Yolo,2020,366,215,123,14,13,1,0,209,86,45,0,1,168,197,0,22.99,455.0
212,Alameda,2021,365,155,200,9,1,0,0,151,71,53,0,3,99,263,0,25.31,3862.0
213,Amador,2021,365,307,54,4,0,0,0,133,67,37,0,0,365,0,0,32.41,95.0
214,Butte,2021,365,160,174,18,10,3,0,257,90,53,0,0,177,185,3,23.72,443.0
215,Calaveras,2021,364,220,135,6,3,0,0,178,77,46,0,0,216,148,0,36.74,120.0
216,Colusa,2021,365,111,238,9,6,1,0,225,76,55,0,0,60,291,14,28.35,61.0
217,Contra Costa,2021,365,195,165,5,0,0,0,150,69,47,0,0,139,226,0,26.6,2907.0
218,Del Norte,2021,323,259,64,0,0,0,0,72,54,31,0,0,0,323,0,38.8,97.0
219,El Dorado,2021,365,247,96,16,4,1,1,375,93,43,0,0,349,9,7,24.18,387.0
220,Fresno,2021,365,62,221,63,17,2,0,278,130,68,0,0,146,209,10,34.7,3521.0
221,Glenn,2021,365,244,106,9,6,0,0,192,65,42,0,0,183,172,10,29.34,79.0
222,Humboldt,2021,365,333,32,0,0,0,0,64,48,29,12,0,219,78,56,27.67,344.0
223,Imperial,2021,365,84,252,22,4,1,2,436,97,60,0,0,134,126,105,21.93,400.0
224,Inyo,2021,365,100,222,25,12,3,3,558,115,61,0,0,152,185,28,34.43,50.0
225,Kern,2021,365,35,202,97,29,1,1,314,147,84,0,0,151,199,15,26.84,2440.0
226,Kings,2021,365,84,230,40,10,0,1,685,109,64,0,0,119,168,78,34.27,526.0
227,Lake,2021,356,348,7,0,1,0,0,157,43,33,0,0,335,19,2,40.32,242.0
228,Los Angeles,2021,365,9,259,70,26,1,0,281,143,79,0,13,148,199,5,26.2,24746.0
229,Madera,2021,365,133,197,28,7,0,0,194,100,58,0,0,210,131,24,31.19,471.0
230,Marin,2021,365,267,98,0,0,0,0,88,60,38,0,2,149,214,0,13.78,305.0
231,Mariposa,2021,365,193,140,25,7,0,0,162,97,49,0,0,292,73,0,17.51,26.0
232,Mendocino,2021,365,210,147,6,2,0,0,185,69,46,0,0,76,289,0,33.13,266.0
233,Merced,2021,365,155,177,31,2,0,0,166,100,54,0,0,210,151,4,37.24,1049.0
234,Mono,2021,364,260,78,12,11,0,3,2971,84,27,0,0,0,241,123,29.35,36.0
235,Monterey,2021,365,261,104,0,0,0,0,80,57,41,0,0,161,194,10,22.36,968.0
236,Napa,2021,140,108,32,0,0,0,0,77,56,41,1,0,74,65,0,15.67,201.0
237,Nevada,2021,365,183,129,34,13,4,2,326,115,50,0,0,208,157,0,20.51,168.0
238,Orange,2021,365,109,238,18,0,0,0,148,87,55,0,5,124,232,4,16.11,4788.0
239,Placer,2021,365,130,187,30,9,6,3,692,115,58,0,0,220,144,1,19.86,734.0
240,Plumas,2021,365,97,184,37,24,16,7,654,170,67,0,0,0,365,0,26.49,39.0
241,Riverside,2021,365,19,210,89,44,2,1,329,158,89,0,0,191,127,47,26.0,6069.0
242,Sacramento,2021,365,146,183,30,4,1,1,381,100,55,0,0,195,166,4,32.46,5008.0
243,San Benito,2021,365,295,70,0,0,0,0,100,55,41,0,0,280,79,6,24.26,145.0
244,San Bernardino,2021,365,17,202,73,61,11,1,486,172,87,0,7,191,155,12,30.45,6560.0
245,San Diego,2021,365,52,297,16,0,0,0,133,90,67,0,0,163,199,3,17.91,5716.0
246,San Francisco,2021,365,255,110,0,0,0,0,86,60,39,0,8,162,195,0,17.92,1387.0
247,San Joaquin,2021,365,140,209,15,1,0,0,153,84,55,0,0,114,231,20,35.29,2708.0
248,San Luis Obispo,2021,365,154,203,8,0,0,0,133,77,53,0,0,190,167,8,16.28,411.0
249,San Mateo,2021,365,290,75,0,0,0,0,90,56,36,0,3,199,163,0,13.17,926.0
250,Santa Barbara,2021,365,240,124,1,0,0,0,101,60,44,0,0,180,184,1,15.73,672.0
251,Santa Clara,2021,365,147,211,7,0,0,0,147,72,53,0,0,90,275,0,14.56,2663.0
252,Santa Cruz,2021,365,298,67,0,0,0,0,80,54,37,0,0,187,178,0,18.52,443.0
253,Shasta,2021,365,222,111,15,12,5,0,240,93,46,0,0,271,94,0,25.27,409.0
254,Siskiyou,2021,364,237,96,7,21,3,0,210,86,43,0,0,178,186,0,21.42,76.0
255,Solano,2021,365,215,147,3,0,0,0,126,66,44,0,0,172,193,0,40.05,1705.0
256,Sonoma,2021,365,283,82,0,0,0,0,89,57,37,0,0,156,203,6,15.0,673.0
257,Stanislaus,2021,365,84,234,42,5,0,0,172,105,61,0,0,136,225,4,32.44,1769.0
258,Sutter,2021,364,102,240,17,5,0,0,175,90,59,0,0,95,268,1,23.18,215.0
259,Tehama,2021,365,207,122,21,15,0,0,193,100,47,0,0,256,109,0,31.38,189.0
260,Trinity,2021,328,201,81,4,19,9,14,1217,168,38,0,0,0,328,0,26.72,33.0
261,Tulare,2021,365,49,182,93,38,2,1,961,154,81,0,0,173,187,5,26.95,1280.0
262,Tuolumne,2021,360,295,63,2,0,0,0,136,61,41,0,0,360,0,0,23.59,104.0
263,Ventura,2021,365,157,198,10,0,0,0,122,80,53,0,0,214,140,11,16.81,1312.0
264,Yolo,2021,365,242,117,4,2,0,0,159,68,42,0,0,215,149,1,22.87,436.0
