county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2.5,days_pm10,asthma_rate,number_of_cases,y_pred,residual
Tuolumne,2014,334,214,104,16,0,0,0,133,87,46,0,0,334,0,0,49.44,242.0,52.41794563251223,-2.977945632512231
Ventura,2014,365,101,249,15,0,0,0,150,87,58,0,1,174,186,4,34.45,2855.0,38.49328924395903,-4.04328924395903
Yolo,2014,365,215,149,1,0,0,0,101,63,46,0,2,163,200,0,42.26,813.0,44.738196740937155,-2.4781967409371575
Alameda,2015,365,146,207,12,0,0,0,147,79,54,0,6,117,242,0,64.22,9929.0,58.25225542086662,5.967744579133381
Amador,2015,364,283,73,8,0,0,0,140,67,41,0,0,364,0,0,58.2,195.0,61.03400431244173,-2.834004312441728
Butte,2015,365,138,214,12,1,0,0,153,84,55,0,0,198,166,1,50.17,1043.0,47.20202194646194,2.9679780535380615
Calaveras,2015,365,216,127,18,1,1,2,390,90,47,0,0,250,115,0,48.09,185.0,55.876788472057214,-7.786788472057211
Colusa,2015,365,141,218,4,1,1,0,208,73,53,0,0,89,274,2,41.69,97.0,47.86867390131522,-6.178673901315221
Contra Costa,2015,365,193,164,8,0,0,0,147,70,48,0,0,138,227,0,65.07,6854.0,60.458929443440034,4.611070556559959
Del Norte,2015,114,101,13,0,0,0,0,72,51,20,0,0,0,114,0,52.97,139.0,58.33236999160867,-5.362369991608674
El Dorado,2015,365,238,103,22,2,0,0,166,93,44,0,0,347,8,10,36.37,592.0,41.29853736363232,-4.928537363632323
Fresno,2015,365,38,225,78,23,1,0,205,136,80,0,0,203,158,4,76.95,7933.0,71.28544042691051,5.664559573089491
Glenn,2015,365,221,144,0,0,0,0,93,68,46,0,0,206,148,11,42.76,122.0,45.98528625520732,-3.2252862552073225
Humboldt,2015,365,241,124,0,0,0,0,91,59,40,0,0,145,216,4,63.21,832.0,63.6940968154637,-0.4840968154637011
Imperial,2015,365,49,274,39,3,0,0,184,105,66,0,1,113,178,73,71.02,1386.0,64.7658941753995,6.254105824600501
Inyo,2015,365,191,153,12,6,0,3,1482,90,49,0,0,265,55,45,54.03,88.0,58.97527305488688,-4.945273054886876
Kern,2015,365,23,220,93,28,1,0,201,146,84,0,0,208,154,3,62.17,5850.0,55.5913963922494,6.578603607750601
Kings,2015,365,72,223,60,10,0,0,182,119,74,0,0,179,153,33,78.38,1246.0,68.10709681546363,10.27290318453636
Lake,2015,363,351,11,1,0,0,0,148,47,36,0,0,359,4,0,80.61,478.0,80.21000431244178,0.39999568755821713
Los Angeles,2015,365,3,230,95,36,1,0,203,151,80,0,16,167,180,2,52.97,52115.0,53.46328625520725,-0.4932862552072521
Madera,2015,365,78,240,43,4,0,0,156,105,64,0,0,193,158,14,62.21,1029.0,59.89300431244165,2.3169956875583537
Marin,2015,365,226,137,2,0,0,0,103,64,43,1,12,128,224,0,22.16,541.0,30.58859903231364,-8.428599032313638
Mariposa,2015,365,220,134,6,4,1,0,240,84,47,0,0,289,67,9,47.7,79.0,44.64235235758841,3.0576476424115953
Mendocino,2015,365,213,148,2,2,0,0,164,61,46,0,0,64,301,0,57.41,478.0,64.20372236967614,-6.793722369676146
Merced,2015,365,107,213,41,4,0,0,159,105,61,0,0,188,177,0,87.2,2420.0,74.71689417539955,12.483105824600457
Mono,2015,365,318,28,2,4,1,12,4384,54,15,0,0,0,47,318,32.21,43.0,42.97518498556493,-10.765184985564929
Monterey,2015,365,285,79,1,0,0,0,120,54,41,0,1,169,183,12,50.12,2192.0,47.40491180941982,2.7150881905801754
Napa,2015,365,158,206,1,0,0,0,108,72,53,1,1,104,257,2,41.58,569.0,44.4431188605694,-2.8631188605694007
Nevada,2015,364,213,120,29,2,0,0,166,93,48,0,0,350,14,0,42.59,350.0,40.64291180941977,1.9470881905802315
Orange,2015,365,57,287,19,2,0,0,156,87,61,0,18,79,267,1,33.77,10260.0,36.49440959256983,-2.7244095925698275
Placer,2015,365,179,177,8,1,0,0,189,77,51,0,5,146,214,0,31.35,1123.0,36.64147569495093,-5.291475694950925
